GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
112010,JP Morgan - USD,751280,202009,72535375.91
112010,JP Morgan - USD,751280,202010,18922616.71
112010,JP Morgan - USD,751280,202011,25572773.22
112010,JP Morgan - USD,751280,202012,19242079.32
112010,JP Morgan - USD,751280,202101,46316882.37
112010,JP Morgan - USD,751280,202102,32143457.27
112010,JP Morgan - USD,751280,202103,31068858.87
112010,JP Morgan - USD,751280,202104,106435319.6
112010,JP Morgan - USD,751280,202105,-84004513.63
112010,JP Morgan - USD,751280,202106,-198027270
112010,JP Morgan - USD,751280,202107,23992579.56
112010,JP Morgan - USD,751280,202108,-47998165.01
112010,JP Morgan - USD,751280,202109,26856277.54
112010,JP Morgan - USD,751280,202110,-8996183.52
112010,JP Morgan - USD,751280,202111,527701525.7
112010,JP Morgan - USD,751280,202112,-52449409.65
112010,JP Morgan - USD,751280,202201,-24499510.1
112010,JP Morgan - USD,751280,202202,-5668532.18
112010,JP Morgan - USD,751280,202203,-44646695.97
112010,JP Morgan - USD,751280,202204,-22343451.19
112010,JP Morgan - USD,751280,202205,-29952468.65
112010,JP Morgan - USD,751280,202206,-34044730.53
112010,JP Morgan - USD,751280,202207,-81017262.81
112010,JP Morgan - USD,751280,202208,-86646926.41
112010,JP Morgan - USD,751280,202209,-80358359.79
112010,JP Morgan - USD,751280,202210,106835843.7
112010,JP Morgan - USD,751280,202211,-89921215.54
112010,JP Morgan - USD,751280,202212,-7510857.98
112010,JP Morgan - USD,751280,202301,49199873.29
112010,JP Morgan - USD,751280,201802,2209413.35
112010,JP Morgan - USD,751280,202303,-54204736
112010,JP Morgan - USD,751280,202304,11106356.41
112010,JP Morgan - USD,751280,202305,-75604247.03
112010,JP Morgan - USD,751280,202306,-91406211.62
112010,JP Morgan - USD,751280,201807,-134770252.1
112010,JP Morgan - USD,751280,202308,-413634.15
112010,JP Morgan - USD,751280,202309,-123619655.7
112010,JP Morgan - USD,751280,202310,-144648499.2
112010,JP Morgan - USD,751280,202311,-173997052.7
112010,JP Morgan - USD,751280,202312,-116107782.3
112010,JP Morgan - USD,751280,202401,-231870836.4
112010,JP Morgan - USD,751280,202402,-126955447.4
112010,JP Morgan - USD,751280,202403,-46557179.55
112010,JP Morgan - USD,751280,202404,-116102473.9
112010,JP Morgan - USD,751280,202405,-85154617.56
112010,JP Morgan - USD,751280,202406,-24685630.39
59610,"JPMorgan Chase, Sydney",777808,202001,58403.99
59610,"JPMorgan Chase, Sydney",777808,202002,200198.25
59610,"JPMorgan Chase, Sydney",777808,202003,-161325.45
59610,"JPMorgan Chase, Sydney",777808,202004,452.08
59610,"JPMorgan Chase, Sydney",777808,202005,-53668.65
59610,"JPMorgan Chase, Sydney",777808,202006,-41955.96
59610,"JPMorgan Chase, Sydney",777808,202007,-39254.86
59610,"JPMorgan Chase, Sydney",777808,202008,429898.24
59610,"JPMorgan Chase, Sydney",777808,202009,-190332.42
59610,"JPMorgan Chase, Sydney",777808,202010,-8144565.76
59610,"JPMorgan Chase, Sydney",777808,202011,122647.51
59610,"JPMorgan Chase, Sydney",777808,202012,-96124.83
59610,"JPMorgan Chase, Sydney",777808,202101,-53631.42
59610,"JPMorgan Chase, Sydney",777808,202102,187381.64
59610,"JPMorgan Chase, Sydney",777808,202103,-117000.95
59610,"JPMorgan Chase, Sydney",777808,202104,-104521.03
59610,"JPMorgan Chase, Sydney",777808,202105,-16623693.75
59610,"JPMorgan Chase, Sydney",777808,202106,42893.41
59610,"JPMorgan Chase, Sydney",777808,202107,11783042.48
59610,"JPMorgan Chase, Sydney",777808,202108,109183.66
59610,"JPMorgan Chase, Sydney",777808,202109,35659249.45
59610,"JPMorgan Chase, Sydney",777808,202110,-13822.63
59610,"JPMorgan Chase, Sydney",777808,202111,7955484.14
59610,"JPMorgan Chase, Sydney",777808,202112,426346.23
59610,"JPMorgan Chase, Sydney",777808,202201,-382053.97
59610,"JPMorgan Chase, Sydney",777808,202202,-125588.6
59610,"JPMorgan Chase, Sydney",777808,202203,13010311.25
59610,"JPMorgan Chase, Sydney",777808,202204,74847.96
59610,"JPMorgan Chase, Sydney",777808,202205,-58218.9
59610,"JPMorgan Chase, Sydney",777808,202206,-101498.47
59610,"JPMorgan Chase, Sydney",777808,202207,286301687.2
59610,"JPMorgan Chase, Sydney",777808,202208,-1171685.75
59610,"JPMorgan Chase, Sydney",777808,202209,36805810.25
59610,"JPMorgan Chase, Sydney",777808,202210,-36658076.93
59610,"JPMorgan Chase, Sydney",777808,202211,910448.8
59610,"JPMorgan Chase, Sydney",777808,202212,-1101323.45
59610,"JPMorgan Chase, Sydney",777808,202301,287236.97
59610,"JPMorgan Chase, Sydney",777808,201802,-180535.98
59610,"JPMorgan Chase, Sydney",777808,202303,305382.14
59610,"JPMorgan Chase, Sydney",777808,202304,52500.18
59610,"JPMorgan Chase, Sydney",777808,202305,-89607.29
59610,"JPMorgan Chase, Sydney",777808,202306,-11677696.96
59610,"JPMorgan Chase, Sydney",777808,201807,-10666.76
59610,"JPMorgan Chase, Sydney",777808,202308,124147.53
59610,"JPMorgan Chase, Sydney",777808,202309,-249853.27
59610,"JPMorgan Chase, Sydney",777808,202310,576406.01
59610,"JPMorgan Chase, Sydney",777808,202311,-442812.91
59610,"JPMorgan Chase, Sydney",777808,202312,-532678.25
59610,"JPMorgan Chase, Sydney",777808,202401,63929.09
59610,"JPMorgan Chase, Sydney",777808,202402,48582.23
59610,"JPMorgan Chase, Sydney",777808,202403,-83936.42
